glottocode,name,isocodes,level,macroarea,latitude,longitude
nort2970,Alexis-Paul Stoney,,dialect,North America,,
alfo1240,Alfold,,dialect,Eurasia,,
alge1239,Algerian Arabic,arq,language,Africa,35.4208,3.23033
alge1240,Algerian Saharan Arabic,aao,language,Africa,20.8884,4.80626
alge1235,Algerian Sign Language,asp,language,Africa,36.4762,3.5462
algh1238,Algherese,,dialect,Eurasia,,
algi1247,Algiers,,dialect,Africa,,
algo1255,Algonquin,alq,language,North America,47.3876,-77.5258
alha1242,Al-Hasâ,,dialect,Eurasia,,
alha1241,Al-Hasaa,,dialect,Eurasia,,
alii1240,Ali,aiy,language,Africa,4.60014,18.0352
alia1238,Aliap,,dialect,Africa,,
alif1238,Alifokpa,,dialect,Africa,,
alig1238,Aligarh,,dialect,Eurasia,,
alil1239,Alile,,dialect,South America,,
alin1238,Alingar,,dialect,Eurasia,,
alii1241,Ali (Papua New Guinea),,dialect,Papunesia,,
alip1234,Alipur Sign Language,,language,Eurasia,,
alla1248,Alladian,ald,language,Africa,5.22371,-4.42647
alla1246,Allagir,,dialect,Eurasia,,
alla1249,Allang,,dialect,Papunesia,,
alla1247,Allar,all,language,Eurasia,11.0803,76.6593
alle1238,Allentiac,,language,South America,-33.480938,-68.096924
almu1234,al-Murrah-Ajman,,dialect,,,
alng1239,Alngith,aid,language,Australia,-12.5324,141.938
aloa1239,Aloa,,dialect,Africa,,
aloa1235,Aloápam Zapotec,zaq,language,North America,17.4137,-96.7438
alop1235,Alo Phola,ypo,language,Eurasia,23.59,101.933
alor1247,Alorese,aol,language,Papunesia,-8.20382,124.264
alor1246,Alor (Nilotic),,dialect,Africa,,
alpi1238,Alpine Lombard,,dialect,Eurasia,,
alqo1238,Alqosh,,dialect,Eurasia,,
alsa1241,Alsatian,,dialect,Eurasia,,
alsa1242,Al-Sayyid Bedouin Sign Language,syy,language,Eurasia,,
alse1252,Alsea,,dialect,,,
alse1251,Alsea-Yaquina,aes,language,North America,44.408,-123.94
alta1277,Altai Proper,,dialect,Eurasia,,
alto1237,Alto Navarro Meridional,,dialect,Eurasia,,
alto1238,Alto Navarro Septentrional,,dialect,Eurasia,,
aluu1243,Alu,,dialect,Papunesia,,
alug1235,Alugu,aub,language,Eurasia,23.0,103.0
aluk1239,Aluku,,dialect,South America,,
aluk1238,Alu Kurumba,xua,language,Eurasia,11.3456,76.7995
alum1248,Alumbis,,dialect,Papunesia,,
alum1247,Alumu,,dialect,Africa,,
alum1246,Alumu-Tesu,aab,language,Africa,9.01513,8.55956
alun1238,Alune,alp,language,Papunesia,-3.11477,128.394
aluo1235,Aluo,yna,language,Eurasia,26.0,102.0
alur1250,Alur,alz,language,Africa,2.36213,31.0016
alur1249,Aluru,,dialect,Africa,,
diaa1238,Alu-Sinagen,dia,language,Papunesia,-3.38837,142.248
alut1245,Alutor,alr,language,Eurasia,60.3844,165.653
alut1246,Alutorskij,,dialect,Eurasia,,
aluu1242,Aluu,,dialect,Africa,,
alvi1242,Alvir,,dialect,Eurasia,,
alvi1241,Alviri-Vidari,avd,language,Eurasia,35.0075,50.3794
alya1239,Alyawarr,aly,language,Australia,-21.0427,136.835
alyk1238,Alyk,,dialect,Eurasia,,
amad1244,Amadiya,,dialect,Eurasia,,
amad1240,Amadiye,,dialect,Eurasia,,
amah1245,Amahai,amq,language,Papunesia,-3.32028,128.939
amah1246,Amahuaca,amc,language,South America,-10.2012,-72.3208
amai1246,Amaimon,ali,language,Papunesia,-5.18742,145.368
amai1247,Amaizuho,,dialect,Papunesia,,
amal1242,Amal,aad,language,Papunesia,-4.04517,141.995
amam1246,Amam,,language,Papunesia,,
amam1247,Amami O Shima Sign Language,,language,Eurasia,,
aman1263,Amana,,dialect,Africa,,
aman1265,Amanab,amn,language,Papunesia,-3.51516,141.178
aman1262,Amanavil,,dialect,Africa,,
aman1266,Amanayé,ama,language,South America,-3.79772,-48.6613
aman1261,Amanda-Afi,,dialect,Africa,,
aman1264,Amanuban-Amanatun,,dialect,Papunesia,,
amap1241,Amapá Creole,amd,language,,,
amap1240,Ama (Papua New Guinea),amm,language,Papunesia,-4.20192,141.658
